M,tempscreacio,tempsbocom,tempsdolcom,compbo,compdol
182,8.2e-05,2.17787e-06,2.7589e-06,3.73519,5.47101
183,8.6e-05,2.17737e-06,2.64191e-06,3.71249,5.32248
184,8.5e-05,2.16315e-06,2.71719e-06,3.69602,5.4059
185,0.000138,2.1533e-06,2.56968e-06,3.68367,5.36114
186,8.3e-05,2.16727e-06,2.72737e-06,3.68342,5.52187
187,9.4e-05,2.14794e-06,2.61343e-06,3.73095,5.30722
188,8.5e-05,2.08494e-06,2.53611e-06,3.58426,5.23296
189,8.3e-05,2.1518e-06,2.64598e-06,3.69976,5.38555
190,8.2e-05,2.09916e-06,2.69379e-06,3.57727,5.40183
191,8.2e-05,2.16764e-06,2.7233e-06,3.66895,5.29095
192,8.3e-05,2.09679e-06,2.58901e-06,3.62106,5.24822
193,8.3e-05,2.10478e-06,2.52492e-06,3.62018,5.23906
194,8.3e-05,2.0817e-06,2.5707e-06,3.60758,5.18616
195,0.000113,2.14681e-06,2.5473e-06,3.63066,5.01017
196,8.6e-05,2.08582e-06,2.58901e-06,3.53461,5.14852
197,8.3e-05,3.50904e-06,2.83011e-06,3.49358,5.10275
198,8.2e-05,2.03779e-06,2.50458e-06,3.49195,5.10071
199,8.3e-05,2.03854e-06,2.48423e-06,3.49507,4.92981
200,8.3e-05,2.06137e-06,2.54934e-06,3.56018,5.05595
201,8.4e-05,2.10528e-06,2.45677e-06,3.53773,4.84435
202,8.6e-05,2.03842e-06,2.54832e-06,3.45728,5.03255
203,0.000102,1.99538e-06,2.4588e-06,3.44468,4.98678
204,0.000107,2.03193e-06,2.44761e-06,3.41811,4.96134
205,8.7e-05,2.04628e-06,2.44049e-06,3.47337,4.84842
206,8.3e-05,1.95622e-06,2.51679e-06,3.37608,4.89725
207,8.3e-05,1.98803e-06,2.45371e-06,3.4448,4.93388
208,8.3e-05,2.02844e-06,2.5056e-06,3.47362,5.04069
209,8.3e-05,1.95534e-06,2.34079e-06,3.34764,4.76806
210,8.3e-05,1.95322e-06,2.35198e-06,3.39728,4.79654
211,8.3e-05,1.91955e-06,2.353e-06,3.26681,4.7294
212,8.3e-05,2.04827e-06,2.44049e-06,3.36497,4.57579
213,8.3e-05,1.97356e-06,2.46694e-06,3.38144,4.73856
214,8.2e-05,1.92616e-06,2.39166e-06,3.34103,4.70702
215,8.2e-05,1.93339e-06,2.28789e-06,3.31483,4.62258
216,8.3e-05,1.94125e-06,2.34791e-06,3.33416,4.70092
217,8.3e-05,1.93626e-06,2.36521e-06,3.3162,4.73957
218,8.3e-05,1.90196e-06,2.28688e-06,3.30398,4.67243
219,8.3e-05,1.92104e-06,2.27467e-06,3.29038,4.54934
220,8.3e-05,1.87863e-06,2.34079e-06,3.26032,4.64395
221,8.3e-05,1.95397e-06,2.34995e-06,3.27392,4.52289
222,8.6e-05,1.89946e-06,2.33672e-06,3.21517,4.5707
223,8.5e-05,1.97892e-06,2.35707e-06,3.25259,4.4059
224,8.3e-05,1.88973e-06,2.28077e-06,3.18947,4.61038
225,8.3e-05,1.9425e-06,2.23805e-06,3.29263,4.44964
226,8.3e-05,1.86828e-06,2.19329e-06,3.18349,4.33571
227,9.2e-05,1.9042e-06,2.21872e-06,3.22864,4.43744
228,8.2e-05,1.89797e-06,2.24313e-06,3.22789,4.36724
229,8.4e-05,1.93651e-06,2.22177e-06,3.23076,4.36521
230,8.6e-05,1.89597e-06,2.28484e-06,3.13783,4.44151
231,8.3e-05,1.85181e-06,2.12513e-06,3.14108,4.24619
232,9.5e-05,1.86741e-06,2.20753e-06,3.18648,4.31333
233,8.3e-05,1.87788e-06,2.19939e-06,3.10952,4.31333
234,8.2e-05,1.7978e-06,2.22075e-06,3.06848,4.33876
235,8.3e-05,1.85456e-06,2.059e-06,3.18236,4.04069
236,8.2e-05,1.79282e-06,2.18108e-06,3.06424,4.28281
237,8.2e-05,1.77822e-06,2.13835e-06,3.04977,4.25229
238,8.3e-05,1.84408e-06,2.16175e-06,3.16141,4.28586
239,8.3e-05,1.78832e-06,2.0885e-06,3.04815,4.12614
240,8.3e-05,2.21392e-06,2.52492e-06,3.04166,4.22991
241,8.3e-05,1.79706e-06,2.13937e-06,3.00811,4.07121
242,8.3e-05,1.77685e-06,2.20855e-06,3.0368,4.16175
243,8.3e-05,1.78795e-06,2.06816e-06,3.0691,4.0529
244,8.3e-05,1.82088e-06,2.01729e-06,3.11239,3.9705
245,8.3e-05,1.81552e-06,2.08545e-06,3.05912,4.02136
246,8.5e-05,1.82799e-06,2.06002e-06,3.0605,3.97355
247,8.3e-05,1.77236e-06,2.03764e-06,3.00761,3.98372
248,8.2e-05,1.80142e-06,4.17091e-06,3.01921,4.0468
249,0.000147,1.77223e-06,2.05697e-06,2.99139,4.05595
250,8.3e-05,1.81839e-06,2.04578e-06,3.08083,3.90132
251,8.2e-05,1.74429e-06,2.05595e-06,2.93364,3.97457
252,0.000116,1.77647e-06,2.02136e-06,3.00661,4.04171
253,8.3e-05,1.80417e-06,2.03255e-06,3.04915,4.00407
254,8.3e-05,1.73881e-06,1.96643e-06,2.91194,3.89522
255,8.2e-05,1.72384e-06,2.12411e-06,2.90445,3.93896
256,0.000116,1.78184e-06,2.08037e-06,2.99164,3.98779
257,8.5e-05,1.8487e-06,2.05188e-06,2.97381,3.92065
258,8.2e-05,1.75589e-06,1.941e-06,2.94337,3.90539
259,8.2e-05,1.7277e-06,1.96846e-06,2.92865,3.81078
260,8.2e-05,1.74766e-06,1.92269e-06,2.93826,3.77314
261,8.3e-05,1.69951e-06,2.08647e-06,2.85431,3.86267
262,8.2e-05,1.69814e-06,2.0061e-06,2.83622,3.83418
263,8.3e-05,2.82986e-06,1.99084e-06,2.8331,3.77721
264,8.3e-05,1.76163e-06,1.97965e-06,2.93851,3.7528
265,8.2e-05,1.72795e-06,1.96439e-06,2.89809,3.76704
266,8.3e-05,1.75577e-06,1.95829e-06,2.88025,3.75687
267,8.3e-05,1.69415e-06,1.89624e-06,2.84383,3.68362
268,8.2e-05,1.73743e-06,1.89217e-06,2.90657,3.62869
269,8.3e-05,1.70114e-06,1.95626e-06,2.84333,3.76297
270,8.3e-05,1.71336e-06,1.98881e-06,2.87988,3.77416
271,8.3e-05,1.6954e-06,1.88403e-06,2.81876,3.66328
272,8.3e-05,1.69415e-06,1.97558e-06,2.83535,3.84232
273,8.2e-05,1.68891e-06,1.90641e-06,2.83148,3.61343
274,8.2e-05,1.68704e-06,1.941e-06,2.83834,3.68159
275,8.2e-05,1.75203e-06,1.80468e-06,2.93389,3.49237
276,8.3e-05,1.7408e-06,1.91048e-06,2.91493,3.68159
277,0.000114,1.65037e-06,1.86673e-06,2.76463,3.64802
278,8.3e-05,1.67107e-06,1.9115e-06,2.77872,3.60427
279,8.3e-05,1.6949e-06,1.90437e-06,2.82001,3.59613
280,0.000107,1.67469e-06,1.90539e-06,2.75876,3.58291
281,0.000104,1.67544e-06,1.86979e-06,2.79194,3.59207
282,8.3e-05,1.62255e-06,1.90437e-06,2.73968,3.52594
283,8.3e-05,1.70824e-06,1.85554e-06,2.83273,3.5117
284,0.000102,1.68218e-06,1.94812e-06,2.83223,3.63886
285,8.3e-05,1.63216e-06,1.92981e-06,2.74404,3.54629
286,8.5e-05,1.66396e-06,1.92065e-06,2.78745,3.55646
287,8.2e-05,1.82762e-06,2.0468e-06,2.72571,3.46185
288,8.5e-05,1.66683e-06,1.85453e-06,2.7524,3.51475
289,8.5e-05,1.65037e-06,1.81689e-06,2.73668,3.45473
290,8.3e-05,1.61257e-06,1.83825e-06,2.73843,3.50153
291,8.3e-05,1.60484e-06,1.76399e-06,2.70513,3.41506
292,8.2e-05,1.62979e-06,1.79044e-06,2.73332,3.39878
293,8.3e-05,1.62417e-06,1.83723e-06,2.71997,3.45982
294,8.2e-05,1.61407e-06,1.75992e-06,2.70662,3.3825
295,8.3e-05,1.60484e-06,1.78739e-06,2.66197,3.40997
296,0.000106,1.58014e-06,1.74364e-06,2.62979,3.32859
297,8.3e-05,1.63889e-06,1.76704e-06,2.7413,3.40285
298,9.5e-05,1.59399e-06,1.73957e-06,2.62155,3.3235
299,8.3e-05,1.61981e-06,1.86775e-06,2.62392,3.38352
300,8.2e-05,1.69652e-06,1.81994e-06,2.73594,3.41099
301,8.5e-05,1.61008e-06,1.78128e-06,2.63453,3.34283
302,0.00012,1.62991e-06,1.78433e-06,2.67045,3.2472
303,8.4e-05,1.67831e-06,1.80671e-06,2.68716,3.28383
304,8.3e-05,1.64513e-06,1.85046e-06,2.60758,3.27569
305,0.00012,2.53436e-06,2.40997e-06,2.6117,3.21363
